date,region,market,commodity,min_price,max_price,unit,source_pdf,page,table_title,row_number
2026-08-10,Dodoma,Majengo,Maize (Mahindi),80000,90000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,11
2026-08-10,Dodoma,Majengo,Rice (Mchele),250000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,11
2026-08-10,Dodoma,Majengo,Sorghum (Mtama),100000,120000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,11
2026-08-10,Dodoma,Majengo,Bulrush Millet (Uwele),80000,85000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,11
2026-08-10,Dodoma,Majengo,Finger Millet (Ulezi),250000,270000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,11
2026-08-10,Dodoma,Majengo,Wheat Grain (Ngano),150000,165000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,11
2026-08-10,Dodoma,Majengo,Beans (Maharage),250000,280000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,11
2026-08-10,Dodoma,Majengo,Irish Potatoes (Viazi Mviringo),65000,70000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,11
2026-08-10,Morogoro,Morogoro,Maize (Mahindi),46875,50781,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,12
2026-08-10,Morogoro,Morogoro,Rice (Mchele),200000,220000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,12
2026-08-10,Morogoro,Morogoro,Sorghum (Mtama),150000,150000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,12
2026-08-10,Morogoro,Morogoro,Bulrush Millet (Uwele),120000,130000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,12
2026-08-10,Morogoro,Morogoro,Finger Millet (Ulezi),160000,170000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,12
2026-08-10,Morogoro,Morogoro,Wheat Grain (Ngano),200000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,12
2026-08-10,Morogoro,Morogoro,Beans (Maharage),200000,220000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,12
2026-08-10,Morogoro,Morogoro,Irish Potatoes (Viazi Mviringo),130000,170000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,12
2026-08-10,Mtwara,Mtwara Dc,Maize (Mahindi),57000,57000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,13
2026-08-10,Mtwara,Mtwara Dc,Rice (Mchele),160000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,13
2026-08-10,Mtwara,Mtwara Dc,Sorghum (Mtama),200000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,13
2026-08-10,Mtwara,Mtwara Dc,Bulrush Millet (Uwele),400000,400000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,13
2026-08-10,Mtwara,Mtwara Dc,Finger Millet (Ulezi),200000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,13
2026-08-10,Mtwara,Mtwara Dc,Wheat Grain (Ngano),300000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,13
2026-08-10,Mtwara,Mtwara Dc,Beans (Maharage),270000,270000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,13
2026-08-10,Mtwara,Mtwara Dc,Irish Potatoes (Viazi Mviringo),100000,100000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,13
2026-08-10,Lindi,Lindi mjini,Maize (Mahindi),75000,80000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,14
2026-08-10,Lindi,Lindi mjini,Rice (Mchele),200000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,14
2026-08-10,Lindi,Lindi mjini,Sorghum (Mtama),200000,250000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,14
2026-08-10,Lindi,Lindi mjini,Bulrush Millet (Uwele),280000,280000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,14
2026-08-10,Lindi,Lindi mjini,Finger Millet (Ulezi),250000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,14
2026-08-10,Lindi,Lindi mjini,Wheat Grain (Ngano),350000,350000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,14
2026-08-10,Lindi,Lindi mjini,Beans (Maharage),200000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,14
2026-08-10,Lindi,Lindi mjini,Irish Potatoes (Viazi Mviringo),150000,150000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,14
2026-08-10,Iringa,Iringa,Maize (Mahindi),46000,48000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,15
2026-08-10,Iringa,Iringa,Rice (Mchele),180000,270000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,15
2026-08-10,Iringa,Iringa,Sorghum (Mtama),130000,150000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,15
2026-08-10,Iringa,Iringa,Bulrush Millet (Uwele),180000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,15
2026-08-10,Iringa,Iringa,Finger Millet (Ulezi),180000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,15
2026-08-10,Iringa,Iringa,Wheat Grain (Ngano),170000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,15
2026-08-10,Iringa,Iringa,Beans (Maharage),210000,220000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,15
2026-08-10,Iringa,Iringa,Irish Potatoes (Viazi Mviringo),100000,120000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,15
2026-08-10,Mara,Musoma,Maize (Mahindi),80000,95000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,16
2026-08-10,Mara,Musoma,Rice (Mchele),190000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,16
2026-08-10,Mara,Musoma,Sorghum (Mtama),200000,260000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,16
2026-08-10,Mara,Musoma,Bulrush Millet (Uwele),180000,250000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,16
2026-08-10,Mara,Musoma,Finger Millet (Ulezi),300000,320000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,16
2026-08-10,Mara,Musoma,Wheat Grain (Ngano),200000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,16
2026-08-10,Mara,Musoma,Beans (Maharage),260000,320000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,16
2026-08-10,Mara,Musoma,Irish Potatoes (Viazi Mviringo),140000,150000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,16
2026-08-10,Tanga,Mgandini,Maize (Mahindi),150000,150000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,17
2026-08-10,Tanga,Mgandini,Rice (Mchele),180000,22000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,17
2026-08-10,Tanga,Mgandini,Sorghum (Mtama),12000,120000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,17
2026-08-10,Tanga,Mgandini,Bulrush Millet (Uwele),200000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,17
2026-08-10,Tanga,Mgandini,Finger Millet (Ulezi),300000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,17
2026-08-10,Tanga,Mgandini,Wheat Grain (Ngano),200000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,17
2026-08-10,Tanga,Mgandini,Beans (Maharage),200000,220000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,17
2026-08-10,Tanga,Mgandini,Irish Potatoes (Viazi Mviringo),100000,120000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,17
2026-08-10,Songwe,Songwe,Maize (Mahindi),44000,44400,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,18
2026-08-10,Songwe,Songwe,Rice (Mchele),170000,180000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,18
2026-08-10,Songwe,Songwe,Sorghum (Mtama),240000,240000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,18
2026-08-10,Songwe,Songwe,Bulrush Millet (Uwele),220000,220000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,18
2026-08-10,Songwe,Songwe,Finger Millet (Ulezi),230000,230000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,18
2026-08-10,Songwe,Songwe,Wheat Grain (Ngano),200000,200000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,18
2026-08-10,Songwe,Songwe,Beans (Maharage),180000,180000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,18
